Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vShWCwor4cclOZiOjSsMx,"Vem pro Baile","BAILE","FBC;VHOOR",2021-11-12,199921,42,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.776,0.815,11,-7.124,0,0.254,0.0168,0,0.555,0.528,124.996,4
spotify:track:57UNZkviEJUXijCiWJ4bnN,"Quando o DJ Toca","BAILE","FBC;VHOOR;UANA",2021-11-12,182599,51,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap,new mpb","UFFÉ",0.908,0.632,7,-8.263,1,0.0482,0.0631,0,0.0821,0.595,130.005,4
spotify:track:24OfVcMZO1BhHseqwAZb0K,"Rap da UFFÉ","BAILE","FBC;VHOOR",2021-11-12,127511,40,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.787,0.803,6,-6.934,0,0.0427,0.00174,0,0.15,0.311,130.035,4
spotify:track:0ggn60fzhHiAb5UoNKGgZK,"Melô do Vacilão","BAILE","FBC;VHOOR;Djair Voz Cristalina;Ferb",2021-11-12,197721,38,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.732,0.739,11,-6.961,0,0.238,0.0162,0,0.115,0.696,136.132,4
spotify:track:6a5JCYemYOR4lta1mzaetS,"Se Tá Solteira","BAILE","FBC;VHOOR;Mac Júlia",2021-11-12,115859,50,true,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap,brazilian funk","UFFÉ",0.862,0.671,0,-9.168,0,0.167,0.00399,0.00000699,0.0954,0.406,130.031,4
spotify:track:5jeoc9lwmLjqHEbLrXXSdo,"Eu Sou o Crime","BAILE","FBC;VHOOR",2021-11-12,144199,37,true,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.813,0.826,7,-7.215,1,0.117,0.0157,0,0.635,0.453,146.003,4
spotify:track:546KHf7B5TeIifYB1gVZ9E,"Delírios","BAILE","FBC;VHOOR;Djair Voz Cristalina",2021-11-12,162523,67,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.876,0.737,8,-8.085,0,0.22,0.0715,0.00000272,0.104,0.821,130.012,4
spotify:track:5u3vBJzLvgJRQXqUFzr2cW,"Não dá pra Explicar","BAILE","FBC;VHOOR;Mariana Cavanellas",2021-11-12,194644,46,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.869,0.725,0,-8.428,1,0.0522,0.0357,0.000026,0.111,0.171,129.981,4
spotify:track:087o4bsmI7ueNsGtLfZHZ4,"Polícia Covarde","BAILE","FBC;VHOOR",2021-11-12,150751,40,false,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.855,0.704,0,-8.037,1,0.0542,0.0121,0.0000263,0.156,0.432,129.977,4
spotify:track:5TUsJAEbbBcBWoca7HQguT,"De Kenner","BAILE","FBC;VHOOR",2021-11-12,152209,48,true,iarecippo,2021-12-29T04:02:58Z,"brazilian hip hop,miami bass,boom bap,brazilian trap","UFFÉ",0.954,0.742,6,-5.229,1,0.0926,0.0196,0,0.101,0.909,128.977,4
spotify:track:71h3L4e8j3bwMpjfjteAYE,"Dawn FM","Dawn FM (Alternate World)","The Weeknd",2022-01-07,96240,0,false,iarecippo,2022-01-13T18:05:34Z,"","XO / Republic Records",0.28,0.478,9,-8.755,0,0.037,0.674,0.0000585,0.483,0.0807,111.65,4
